YEAR,Month,Day,Maximum temperature at 2 meter(degree celcius),Minimum temperature at 2 meter(degree celcius),Relative humidity at 2 meters(%),precipitation(mm/day),Surface pressure(kPA),Wind speed at 10 m/s
2000,2,15,4.4,-4.27,79.38,1.28,87.06,2.8
2000,2,16,5.05,-2.85,78.5,0.05,86.76,2.65
2000,2,17,5.73,-4.1,79,1.18,86.99,1.96
2000,2,18,7.64,-4,66.06,0.1,87.38,2.2
2000,2,19,9.15,-3.76,57.88,0.3,86.96,5.93
2000,2,20,7.13,-0.27,71.69,1.17,86,6.34
2000,2,21,9.07,-0.85,82.31,1.17,85.96,3.87
2000,2,22,7.34,-1.51,82.88,3.33,85.93,7.79
2000,2,23,2.51,-4.61,78.69,0.97,86.17,2.78
2000,2,24,2.7,-3.96,68.88,0.66,86.34,1.36
2000,2,25,3.89,-4.57,78.69,2.18,86.6,4.02
2000,2,26,4.45,-1.24,92.06,12.22,86.1,6.06
2000,2,27,7.67,-2.67,86.88,2.51,85.83,4.09
2000,2,28,5.3,-3.58,82.25,1.36,86.34,3.7
2000,2,29,4.98,-4.62,81.94,5.1,86.49,4.79
2000,3,1,8.2,-5.75,70.88,0.39,86.95,3.84
2000,3,2,4.27,-1.51,87.75,3.13,87.04,2.8
2000,3,3,10.97,-2.63,80.56,0.77,86.98,3.23
2000,3,4,6.9,-2.38,90.94,5.29,85.97,4.41
2000,3,5,2.16,-3.65,87.44,4.76,85.56,5.09
2000,3,6,3.31,-4.67,79.5,2.08,85.82,2.98
2000,3,7,6.2,-5.08,79.19,1.87,86.08,3.12
2000,3,8,4.87,-3.96,76.31,2.47,86.23,3.11
2000,3,9,2.89,-3.84,80.88,1.33,86.77,2.95
2000,3,10,8.44,-3.18,79.62,1.98,87.17,5.58
2000,3,11,5.15,-5.53,68.62,0.62,87.69,2.64
2000,3,12,9.61,-4.22,65.5,0.67,87.31,3.28
2000,3,13,12.21,-2.1,71.94,1.84,86.99,3.64
2000,3,14,8.83,-3.37,69.44,0.4,87.19,5.18
2000,3,15,10.58,-3.91,64.75,0.72,87.05,3.23
2000,3,16,5.76,-4.79,76.94,5.22,86.92,6.41
2000,3,17,5.93,-4.88,75.19,0.7,87.59,4.03
2000,3,18,10.39,-1.95,83.31,3.76,87.23,5.73
2000,3,19,2.11,-3.33,78.06,1.69,86.91,5.97
2000,3,20,6.94,-4.34,61.25,0.55,87.45,2.42
2000,3,21,14.19,-3.34,57.62,0,87.41,2
2000,3,22,15.29,0.19,67.94,1.4,86.7,5.79
2000,3,23,7.21,-4.52,67.62,0.18,87.09,3.82
2000,3,24,14.68,-4.63,61.12,0.01,86.66,4.25
2000,3,25,13.9,-0.78,77.31,0.57,86.89,3.62
2000,3,26,17.18,-2.42,71.44,0.04,87.15,3.45
2000,3,27,9.28,-1.54,79.19,0.55,86.56,3.97
2000,3,28,7.67,-4.35,71,0.2,86.64,3.72
2000,3,29,7.48,-3.85,66.88,0.09,87.21,3.62
2000,3,30,12.85,-4.94,51.94,0,87.9,2.64
2000,3,31,15.61,-0.34,48.69,0.07,88.08,2.67
2000,4,1,18.39,1.26,64.44,0.07,87.66,3.98
2000,4,2,20.07,2.73,65.12,0.13,87.43,2.67
2000,4,3,23.9,4.2,60.5,0.04,87.08,5.16
2000,4,4,16.72,1.65,75.69,0.21,86.99,5.39
2000,4,5,14.05,-1.77,62.25,0.02,86.88,3.23
2000,4,6,11.04,-1.24,71.62,0.01,87.06,4.8
2000,4,7,17.39,-1.69,63.62,0.39,87.59,3.49
2000,4,8,19.17,0.7,60.56,1.17,86.95,3.6
2000,4,9,13.58,2,75.94,0.71,87.02,3.76
2000,4,10,20.14,1.49,58.62,0.02,87.24,1.74
2000,4,11,21.38,2.49,53.75,0.33,87.15,3.63
2000,4,12,19.31,7.98,67.69,2.08,87.03,2.5
2000,4,13,11.28,2.38,77.88,3.08,86.39,4.41
2000,4,14,12.62,-0.04,74.56,1.69,86.2,3.16
2000,4,15,9.22,2.79,78.25,2.85,86.17,2.61
2000,4,16,12.25,2.27,72.38,1.19,86.3,3.8
2000,4,17,15.93,1.28,74.75,4.29,86.17,2.82
2000,4,18,13.53,2.69,81.44,1.15,86.38,6
2000,4,19,16.77,0.95,69.19,1.22,87.09,1.7
2000,4,20,13.89,4.36,72.75,0.29,87.22,2.3
2000,4,21,20.74,2.12,65,0.17,86.63,4.15
2000,4,22,10.94,-0.03,66.81,0.67,86.68,4.49
2000,4,23,8.9,-1.01,69.69,0.84,87.17,3.95
2000,4,24,10.71,-3.12,66.19,0.95,87.19,3.23
2000,4,25,9.98,1.42,72.81,1.11,87.05,3.98
2000,4,26,18.71,0.18,61.94,0.19,87.11,4.13
2000,4,27,18.74,0.92,63.88,0.94,86.32,6.38
2000,4,28,7.64,-3.79,66.81,0.36,87.03,4.25
2000,4,29,16.08,-3.35,53.62,0.08,87.44,2.33
2000,4,30,24.4,2.76,52.25,0,87.17,4.84
2000,5,1,21.06,5.97,65.75,1.83,86.93,2.87
2000,5,2,19.61,5.25,62.94,0.49,86.72,3.12
2000,5,3,14.63,3.01,69.38,1.12,86.53,4.52
2000,5,4,14.26,2.35,66.62,0.7,86.54,2.87
2000,5,5,10.98,0,66.06,0.52,86.52,3.45
2000,5,6,13.64,-0.87,60.56,0.67,86.53,1.95
2000,5,7,13.83,1.48,66.81,1.98,86.51,1.64
2000,5,8,16.03,4.01,69.94,1.77,86.59,4
2000,5,9,12.96,0.74,64.62,1.64,86.26,6.7
2000,5,10,5.36,-1.8,70.06,2.5,86.1,6.37
2000,5,11,6.73,-2.97,72.69,1.88,86.93,5.27
2000,5,12,11.08,-3.88,60.12,0.98,87.18,3.2
2000,5,13,14.19,0.73,62.12,0.75,86.82,3.75
2000,5,14,20.58,1.3,62.88,0.29,86.4,4.49
2000,5,15,19.03,2.72,63,1.92,86.49,3.28
2000,5,16,15.09,5.38,77.38,0.89,86.56,7.62
2000,5,17,15.94,2.7,67.25,0.09,87.3,5.66
2000,5,18,21.62,2.51,61.88,0.34,87.48,2.48
2000,5,19,21.06,6.58,67.75,0.1,87.61,3.52
2000,5,20,24.08,5.19,61.62,0.03,87.48,3.12
2000,5,21,27.9,9.79,59,0,87.3,3.3
2000,5,22,24.82,9.63,64.62,0.01,87.12,3.74
2000,5,23,22.67,8.46,70.38,0.04,87.09,4.11
2000,5,24,21.1,6.62,62.12,0.03,86.73,3.88
2000,5,25,16.89,4.55,63.88,0.03,86.55,3.36
2000,5,26,20.23,5.67,65.12,0.11,86.54,4.31
2000,5,27,17.99,6.69,71.06,1.12,86.69,5.27
2000,5,28,18.78,5.65,58.44,0.08,86.98,3.78
2000,5,29,15.21,4.46,62.69,0.73,86.9,3.54
2000,5,30,8.62,1.15,72.06,2.76,86.88,5.16
2000,5,31,15.55,-0.57,64.5,0.14,87.3,3.97
2000,6,1,24.48,1.82,52.31,0,86.92,3.99
2000,6,2,24.32,6.55,59.88,0.07,87.06,3.4
2000,6,3,26.9,7.71,48.75,0,87.37,2.53
2000,6,4,30.59,8.36,46.38,0.04,86.92,5.04
2000,6,5,22.38,9.94,59.12,0.22,86.82,4.17
2000,6,6,24.62,8.25,58.88,0.03,86.92,3.94
2000,6,7,24.75,8.19,59.5,0.74,86.44,3.95
2000,6,8,14.35,4.76,75.31,2.5,86.31,5.25
2000,6,9,16.27,3.28,64.56,1.32,86.51,3.91
2000,6,10,9.78,2.65,65.62,0.55,86.87,3.41
2000,6,11,14.97,3.16,72.5,2.46,86.91,3.73
2000,6,12,17.44,7.3,74.5,2.58,86.92,6.92
2000,6,13,24.25,5.23,66.81,0.08,87.74,3.52
2000,6,14,27.13,9.34,62.5,0.07,87.69,4.76
2000,6,15,21.75,6.87,52.5,0.13,87.52,5.96
2000,6,16,22.92,5.6,51.38,0.08,87.28,4.48
2000,6,17,25.98,6.58,42.62,0,86.88,3.05
2000,6,18,22.44,8.06,60.88,0.06,86.66,5.05
2000,6,19,19.75,4.65,55.5,0.03,87.25,4.97
2000,6,20,27.33,5.42,52.44,0,87.35,2.28
2000,6,21,28.98,12.29,54.75,0.27,87.04,3.37
2000,6,22,25.56,9.88,56.94,0.03,86.93,3.62
2000,6,23,24.51,6.43,53,0.12,87.11,3.44
2000,6,24,25.08,7.57,59.5,0.03,87.36,4.23
2000,6,25,26.9,7.44,49.19,0,87.49,3.5
2000,6,26,27.86,9.73,38.25,0,87.27,3.56
2000,6,27,28.51,11.66,36.06,0,87.24,3.27
2000,6,28,30.12,11.96,41.56,0,87.2,3.7
2000,6,29,30.79,12.03,48.5,0,87.02,2.83
2000,6,30,26.29,10.95,55.75,0,86.77,4.42
2000,7,1,22.7,7.89,58.56,0.23,86.84,4.48
2000,7,2,21.33,5.56,55.44,0.09,86.9,3.97
2000,7,3,15.71,5.14,59.5,0.59,86.93,4.64
2000,7,4,18.91,5.83,55.94,1.1,86.94,2.63
2000,7,5,17.8,7.27,71.44,4.16,86.74,2.16
2000,7,6,22.14,8.2,58.81,1.89,86.86,1.9
2000,7,7,24.85,8.81,55.62,1.27,86.87,2.51
2000,7,8,20.55,9.49,71.31,1.77,87.02,2.93
2000,7,9,23.36,8.52,56.75,0.49,87.05,3.44
2000,7,10,25.63,7.89,56.88,0.02,87.01,2.66
2000,7,11,29.01,8.79,56.31,0.17,87.05,2.52
2000,7,12,31.01,10.37,53.69,0.06,87.03,2.78
2000,7,13,29.21,11.76,53.62,0,87.21,4.02
2000,7,14,25.88,9.68,57,0.01,87.41,4.04
2000,7,15,28.25,6.12,46.75,0,87.32,2.57
2000,7,16,29.26,9.85,38.81,0.07,87,2.5
2000,7,17,25.63,12.33,52.06,0.31,87.14,3.02
2000,7,18,24.05,12.84,65.19,0.67,87.49,1.61
2000,7,19,28.48,12.21,58.62,0.1,87.48,2.66
2000,7,20,30.41,11.62,49.62,0.02,87.25,2.27
2000,7,21,33.76,13.85,48.81,0.17,86.87,4.06
2000,7,22,26.19,10.65,60.5,0.02,87.18,4.61
2000,7,23,26.98,8.42,53.75,0,87.57,2.82
2000,7,24,29.89,11.82,47.19,0,87.32,2.81
2000,7,25,27.61,10.92,58.81,0.18,87.06,3.63
2000,7,26,27.45,9.62,56.19,0,86.89,3.18
2000,7,27,28.69,9.73,51.31,0,87.16,2.16
2000,7,28,32.15,12.61,53.62,0,87.27,3.39
2000,7,29,33.15,13.53,55.38,0,87.23,2.54
2000,7,30,32.52,16.57,56,0,87.1,3.21
2000,7,31,30.82,16.36,58.19,0,87.33,4.24
2000,8,1,30.6,14.31,54.56,0.02,87.42,3.17
2000,8,2,31.01,11.65,47.88,0.06,87.14,2.49
2000,8,3,32.55,13.28,46.56,0,86.77,2.96
2000,8,4,30.65,13.07,50.88,0,87.07,3.57
2000,8,5,30.3,12.15,51.94,0,87.31,3.12
2000,8,6,29.38,12.05,54.25,0,87.11,3.85
2000,8,7,30.27,11.14,48.88,0,86.92,3.19
2000,8,8,32.58,13.74,41.31,0,86.93,2.96
2000,8,9,29.72,13.52,56.75,0.15,86.86,3.94
2000,8,10,25.26,11.41,63.19,0.75,86.96,3.24
2000,8,11,26.21,8.35,51,0.11,87.27,3.16
2000,8,12,26.87,9.71,47.38,0,87.13,3.07
2000,8,13,24.14,7.44,55.25,0,87.12,3.82
2000,8,14,26.59,7.15,51.62,0,87.12,2.41
2000,8,15,23.95,6.95,48.19,0.07,87.54,3.34
2000,8,16,27.01,7.91,44.31,0,87.56,2.56
2000,8,17,26.43,8.38,49.06,0,87.19,3.4
2000,8,18,22.8,6.88,58.62,0.17,87.12,3.41
2000,8,19,19.81,8.44,60.25,0.13,87.25,3.57
2000,8,20,20.75,7.19,55.5,0.01,87.52,2.66
2000,8,21,26.09,6.46,46.94,0,87.24,2.13
2000,8,22,30.87,8.49,38.19,0,86.92,2.92
2000,8,23,30.61,11.44,41.75,0.19,87.01,3.34
2000,8,24,28.04,12.18,54.19,0.01,87.39,2.42
2000,8,25,28.3,11.83,55.25,0.02,87.25,2.62
2000,8,26,24.32,9.33,59.5,0.07,86.99,3.27
2000,8,27,22.96,6.34,52.5,0,86.84,3.45
2000,8,28,26.37,5.63,47.62,0,86.98,2.55
2000,8,29,25.43,9.59,45.62,0.07,86.96,2.94
2000,8,30,24.01,8.36,59.94,0,86.77,2.56
2000,8,31,21.9,6.58,63.75,0.14,86.41,4.04
2000,9,1,12.2,6.03,75.25,6.8,86.28,1.95
2000,9,2,12.69,4.26,67.56,2.83,86.7,2.7
2000,9,3,12.73,3.68,71.81,2.5,86.94,1.49
2000,9,4,13.71,4.02,72.5,2.05,87.16,2.79
2000,9,5,15.43,5.45,69.69,1.26,87.46,3.77
2000,9,6,19.9,3.76,64.12,0.06,87.64,1.64
2000,9,7,24.26,4.37,48.06,0,86.94,3.2
2000,9,8,14.87,5.02,73.12,0.41,86.44,5.64
2000,9,9,19.55,3.72,60.38,0.05,86.75,2.13
2000,9,10,21.15,6.89,70.56,0.17,86.77,4.1
2000,9,11,25.54,9.5,69.12,0.03,87.14,2.18
2000,9,12,29.01,10.4,57.44,0,87.12,2.89
2000,9,13,30.01,12.13,48.69,0,87.12,2.75
2000,9,14,30.21,12.87,48.25,0.01,86.88,4.88
2000,9,15,23.87,11.92,71.25,0.26,87.15,3.24
2000,9,16,20.84,9.37,72.31,0.05,87.27,3.95
2000,9,17,25.42,8.3,65.88,0.03,87.5,2.69
2000,9,18,25.85,10.1,66.62,0,87.61,3.43
2000,9,19,22.2,9.51,70.44,0.02,87.41,4.01
2000,9,20,24.33,6.08,51.94,0.04,86.79,3.55
2000,9,21,15.94,4.87,74.94,0.74,86.14,4.97
2000,9,22,10.58,-1.14,55.69,0.09,86.53,5.15
2000,9,23,16.05,-3.1,40.75,0.05,87.12,2.31
2000,9,24,19.97,-0.02,34.38,0.14,87.38,4.11
2000,9,25,22.98,2.03,34.81,0.07,87.27,2.72
2000,9,26,24.22,3.28,34.75,0,87.18,3.53
2000,9,27,25.75,5.22,36.31,0,87.18,3.03
2000,9,28,22.17,7.44,60.5,0,87.22,3
2000,9,29,20.12,6.58,74.06,0.03,87.31,2.91
2000,9,30,21.17,7.83,79.75,0.42,86.99,4.66
2000,10,1,19.01,6.01,76.25,0.33,86.82,5.28
2000,10,2,15.33,2.37,66.56,0.33,87.14,3.02
2000,10,3,15.48,1.17,67.44,0.02,87.16,2.12
2000,10,4,17.33,0.63,55.38,0,87.17,2.78
2000,10,5,18.36,0.05,48.81,0.05,87.28,3.95
2000,10,6,22.98,1.65,35.75,0.07,87.08,4.48
2000,10,7,24.62,3.36,34,0.14,87.12,3.36
2000,10,8,24.11,6.19,40.12,0.43,86.97,2.62
2000,10,9,14.36,4.73,73.56,8.48,86.09,3.84
2000,10,10,4.55,1.65,92.94,10.15,85.96,6.01
2000,10,11,11.8,2.33,84.81,1.24,86.47,2.51
2000,10,12,13.04,3.33,80.88,0.23,86.96,3.44
2000,10,13,11.9,2.9,85.81,0.25,87.44,3.88
2000,10,14,11.9,2.73,75.12,0.04,87.32,2.05
2000,10,15,14.76,-0.24,65.81,0.17,87.06,2.19
2000,10,16,19.06,1.34,57.5,0,87.17,3.06
2000,10,17,21.35,4.12,54.81,0.14,87.04,4.41
2000,10,18,13.46,4.48,83.69,0.7,87.23,2.45
2000,10,19,14.58,4.4,72.06,2.28,87.15,2.67
2000,10,20,13.96,2.68,75.19,3.57,86.4,6.43
2000,10,21,6.08,-1.57,80.5,0.48,87.28,4.83
2000,10,22,10.42,-2.94,66.56,0.78,87.64,2.94
2000,10,23,15.23,-3.01,59.06,0,87.16,5.36
2000,10,24,17.69,0.57,66.38,0.79,86.97,3.23
2000,10,25,10.95,3.42,81.88,6.65,86.62,2.12
2000,10,26,11.4,2.48,80.75,0.8,86.27,2.12
2000,10,27,12.61,1.58,73.94,1.68,86.14,4.04
2000,10,28,7.65,1.82,74.25,4.99,85.71,5.57
2000,10,29,7.74,0.38,72.94,0.33,86.26,3.74
2000,10,30,9.12,-0.73,69.56,0.22,86.99,2.1
2000,10,31,9.62,-3.09,83.38,0.14,87.45,3.54
2000,11,1,9.29,-1.06,71.62,0.78,87.39,1.95
2000,11,2,7.89,0.61,91.38,1.23,87.36,1.67
2000,11,3,12.33,1.72,80.19,0.25,87.45,2.54
2000,11,4,8.29,-1.28,77.56,0.61,86.69,7.15
2000,11,5,6.84,-1.64,84.38,1.61,86.76,3.19
2000,11,6,4.3,-1.55,89.19,1.09,86.97,4.36
2000,11,7,8.76,-4.22,76.25,1.24,87.17,2.56
2000,11,8,3.37,-1.88,85.62,4.44,86.19,6.11
2000,11,9,-0.01,-4.93,86,0.95,85.99,2.91
2000,11,10,0.05,-6.7,77.69,0.25,86.29,3.79
2000,11,11,1.53,-6.68,65.88,0.14,87.07,1.8
2000,11,12,3.19,-5.62,67.44,0.33,87.23,2.19
2000,11,13,2.88,-3.21,67.69,0.9,86.65,3.56
2000,11,14,2.26,-5.86,75.75,0.11,86.59,1.96
2000,11,15,2.22,-5.18,83.38,0.09,86.91,1.92
2000,11,16,3.44,-8.49,73.06,0.01,87.31,1.82
2000,11,17,4.78,-7.95,67.44,0.05,87.62,2.97
2000,11,18,7.94,-8.06,60.38,0.12,87.65,2.54
2000,11,19,5.95,-6.24,66.31,0.17,87.62,3.01
2000,11,20,6.28,-5.47,63.62,0,87.36,6.48
2000,11,21,4.44,-5.2,69.56,0.19,87.11,4.66
2000,11,22,6.98,-3.91,60.75,0,87.29,1.96
2000,11,23,4.42,-4.2,80.5,2.24,87.34,3.8
2000,11,24,4.9,-2.31,82.38,0.78,87.67,2.36
2000,11,25,3.57,-2.19,80.19,0.61,87.09,3.99
2000,11,26,2.64,-0.56,96.06,0.61,87.06,2.87
2000,11,27,2.32,-4.6,88.62,0.95,87.12,3.65
2000,11,28,5.87,-5.22,82.12,0.41,86.84,6.03
2000,11,29,4.08,-2.28,89.06,1.51,86.14,6.42
2000,11,30,5.1,-2.35,84.56,0.17,87.31,4
2000,12,1,5.85,-3.91,74,0.09,87.21,4.88
2000,12,2,7.7,-2.19,90,0.15,87.23,2.66
2000,12,3,8.28,-1.97,83.56,0.09,87.36,3.35
2000,12,4,7.9,-2.55,79.94,0,87.71,3.69
2000,12,5,9.56,-2.01,71.62,0,87.8,3.05
2000,12,6,8.91,-1.63,68.25,0,87.51,4.51
2000,12,7,7.3,-0.63,64.75,0.01,87.02,2.02
2000,12,8,5.35,-2.04,92.62,0.09,86.64,2.88
2000,12,9,3.24,-4.73,90.31,0.23,86.59,3.32
2000,12,10,1.15,-4.77,84.12,1.5,86.83,4.18
2000,12,11,-0.77,-5.31,84.31,2.68,86.62,3.69
2000,12,12,1.15,-5.37,83.06,3.16,86.39,1.77
2000,12,13,2.18,-4.73,92.62,4.27,85.79,4.87
2000,12,14,2.37,-2.7,89.88,2.23,86.1,7.99
2000,12,15,1.5,-5.09,87.06,1.25,87.17,8.55
2000,12,16,4.23,-4.42,88.44,1.3,87.35,6.71
2000,12,17,0.48,-8.17,85.75,0.7,88.06,4.78
2000,12,18,3.51,-8.76,70.38,0.03,88.01,6.29
2000,12,19,5.05,-2.44,83,1.2,87.19,3.43
2000,12,20,4.36,-0.77,92.94,0.97,86.99,2.94
2000,12,21,4.43,-1.91,88.31,1.34,86.22,5.73
2000,12,22,4.51,-1.66,90.81,3.37,86.58,5.19
2000,12,23,2.38,-3.63,95.25,0.84,86.88,3.35
2000,12,24,1.81,-5.99,87.06,0.12,87.54,2.38
2000,12,25,2.3,-6.44,78.56,0.18,87.79,5.2
2000,12,26,5.44,-3.99,67.75,0.33,87.66,6.27
2000,12,27,4.59,-2.27,90.12,0.07,87.76,2.84
2000,12,28,4.95,-4.74,78.25,0,87.77,5
2000,12,29,3.82,-4.22,81.56,0.06,87.49,4.66
2000,12,30,5.9,-2.45,92.38,0.06,87.3,2.86
2000,12,31,6.39,-3.1,87.88,0,87.27,2.73
2001,1,1,6.86,-3.13,77.62,0.01,87.7,4.05
2001,1,2,7.84,-1.8,62.88,0.04,87.94,7.41
2001,1,3,5.08,-3.64,68.56,0.1,87.82,5.27
2001,1,4,10.82,-1.42,56.06,0.02,87.53,3.95
2001,1,5,6.48,-1.06,67.81,0.03,87.37,2.24
2001,1,6,6.67,-3.18,80.12,0.11,87.13,3.81
2001,1,7,3.94,-3.57,68.56,0.02,86.48,8.74
2001,1,8,2.77,-1.97,83.69,0.86,86.27,3.9
2001,1,9,4.33,-3.74,86.25,0.47,86.05,5.58
2001,1,10,5.4,-5.24,71.5,0.44,85.84,6.7
2001,1,11,4.36,-2.64,83.19,1.34,85.74,3.05
2001,1,12,2.77,-2.56,89.94,1.45,86.5,2.41
2001,1,13,2.01,-3.16,85.56,2.45,86.84,3.43
2001,1,14,0.41,-6.07,90.56,0.6,87.4,4.13
2001,1,15,-1.11,-7.97,88.12,0.18,87.52,2.31
2001,1,16,0.79,-9.93,72.62,0.68,87.51,2.51
2001,1,17,5.05,-9.35,55,0.15,87.73,2.84
2001,1,18,3.48,-3.36,70.94,0.44,87.56,2.58
2001,1,19,4.89,-3.41,74.19,1.39,87.34,2.91
2001,1,20,2.49,-4.01,73.12,0.35,87.16,6.22
2001,1,21,3.09,-2.27,77.88,0.76,87.24,4.8
2001,1,22,6.77,-3.46,72.25,0.16,87.18,5.25
2001,1,23,2.08,-5.2,76.94,0.83,86.6,6.92
2001,1,24,1.94,-4.89,88.06,0.71,86.5,3.49
2001,1,25,0.54,-5.86,86,0.6,86.52,4.38
2001,1,26,1.59,-6.77,83.5,0.22,86.73,3.09
2001,1,27,3.57,-9.45,76.75,0,87.08,2.1
2001,1,28,7.33,-9.17,68.56,0.64,86.56,4.15
2001,1,29,0.37,-5.54,80.56,0.69,87.01,6.28
2001,1,30,0.23,-6.56,80.5,0.08,87.75,2.27
2001,1,31,5.4,-7.45,65.88,0,87.73,2.84
2001,2,1,8.24,-4.6,64.69,0.64,87.46,3.73
2001,2,2,5.43,-0.95,81.88,0.74,87.46,4.55
2001,2,3,5.97,-0.81,89.56,1.26,87.71,2.08
2001,2,4,8.81,-1.19,90.06,0.31,87.53,4.32
2001,2,5,2.81,-4.2,83.44,0.54,87.25,3.63
2001,2,6,-2.66,-6.67,77.81,0.82,86.52,5.45
2001,2,7,-0.56,-9.71,63.38,0.04,86.82,3.89
2001,2,8,0.73,-10.07,66.81,2.59,86.49,3.39
2001,2,9,2.55,-4.44,74.81,1.3,85.98,3.02
2001,2,10,0.98,-5.71,77.19,1.88,85.63,3.75
2001,2,11,1.54,-8.31,80.62,1.28,85.72,4.56
2001,2,12,0.99,-8.19,78.38,0.38,86.56,1.24
2001,2,13,3.24,-8.97,75.12,0.32,86.75,2.59
2001,2,14,6.24,-7.28,75.44,0,86.61,1.91
2001,2,15,4.37,-3.28,83,0.27,86.48,3.03
2001,2,16,5.12,-3.45,77.38,0.07,86.87,3.76
2001,2,17,6.03,-1.21,68.38,0.12,86.66,6.23
2001,2,18,5.42,-2.6,80.75,0.34,86.62,3.59
2001,2,19,6.8,-1.19,86.81,1.24,86.32,3.1
2001,2,20,6.66,-2.27,83.81,1.07,86.64,4.16
2001,2,21,7.24,-2.03,84.12,4.04,86.69,4.25
2001,2,22,4.68,-2.95,78,1.79,86.19,3.08
2001,2,23,5.01,-3.92,77.81,0.87,86.02,3.34
2001,2,24,5.3,-3.42,67.5,0.24,85.77,3.33
2001,2,25,7.44,-3.41,65.56,0.06,86.69,2.11
2001,2,26,8.85,-4.7,54.12,0,87.3,2.38
2001,2,27,7.82,-5.07,47.31,0,87.3,2.83
2001,2,28,8.94,-5.37,41.06,0.17,86.81,3.35
2001,3,1,5.43,-2.5,63.06,1.95,86.28,5.26
2001,3,2,1.98,-4.92,74.25,1.18,86.29,3.63
2001,3,3,2.94,-5.59,70,1.03,86.31,3.19
2001,3,4,8.4,-3.1,73.81,0.87,85.97,7.73
2001,3,5,10.25,-1.45,79.94,0.4,86.79,4.31
2001,3,6,15.16,-1.69,63.75,0,87.21,4.59
2001,3,7,17.69,-0.96,62.88,0.5,87.16,3.09
2001,3,8,8.28,-2.51,77.19,2.24,87.07,3.94
2001,3,9,3.59,-4.55,77.75,0.53,86.88,3.61
2001,3,10,7.2,-4.67,78.38,0.09,86.89,4.64
2001,3,11,6.83,-3.2,78.31,0.17,87.08,4.16
2001,3,12,12.48,-2.67,73.88,0.09,87.31,3.24
2001,3,13,12.9,-2.92,69.44,0.04,87.12,6.23
2001,3,14,7.9,-4.29,62,0.9,87.36,2.35
2001,3,15,5.83,-3.94,69.19,1.65,86.77,3.73
2001,3,16,4.3,-4.64,63.31,0.76,86.85,2.41
2001,3,17,7.01,-1.99,86.31,1.22,86.87,3.61
2001,3,18,15.88,0.31,81.38,0.6,87.14,3.95
