YEAR,Month,Day,Maximum temperature at 2 meter(degree celcius),Minimum temperature at 2 meter(degree celcius),Earth skin temperature(degree celcius),relative humidity(%),Precipitation(mm/day),Surface pressure(kpa),Wind speed at 10 meters(m/s)
2000,1,29,-2.67,10.8,-9.21,57.69,0.18,79.06,3.38
2000,1,30,1.35,15.25,-8.24,53.62,0.07,78.95,3.12
2000,1,31,3.75,15.18,-6.18,45.75,0.01,78.83,2.9
2000,2,1,6.22,16.11,-4.24,50.69,0.1,79.43,3.73
2000,2,2,13.07,15.43,1.73,44.62,0.18,79.51,6.79
2000,2,3,8.07,14.51,0.28,55.31,0.17,79.54,4.73
2000,2,4,5.69,13.1,-1.03,61.12,0.02,79.62,3.09
2000,2,5,10.26,13.05,1,49.88,0.08,79.15,3.34
2000,2,6,9.87,12.48,1.35,50.75,0.02,79.53,4.4
2000,2,7,9.17,12.27,0.98,50,0.03,79.96,4.53
2000,2,8,14.42,15.8,2.91,37.25,0.02,79.49,4.09
2000,2,9,10.15,10.83,2.56,47.44,0.34,78.73,3.26
2000,2,10,9.13,12.27,1.25,66.31,0.63,78.46,2.68
2000,2,11,5.44,9.29,-0.81,71,0.69,78.4,2.63
2000,2,12,5.33,9.23,-0.58,64.25,0.59,77.95,2.8
2000,2,13,4.93,9.27,-0.94,50.44,0.91,78.06,4.49
2000,2,14,13.4,16.87,2.62,57.69,0.62,78.4,4.55
2000,2,15,7.89,10.97,1.76,52.69,1.05,78.85,6.78
2000,2,16,10.83,14.45,1.93,46.94,0.71,79,3.35
2000,2,17,1.3,7.77,-2.2,80.69,4.72,78.3,3.84
2000,2,18,3.18,10.73,-2.74,67.56,1.67,78.98,1.95
2000,2,19,7.38,14.49,-1.87,48.88,0,79.48,2.79
2000,2,20,11.74,16.3,1.13,44,0.4,79.29,3.74
2000,2,21,15.38,16.51,4.74,48.5,0.26,78.89,3.41
2000,2,22,9.48,9.38,2.56,58.88,3,78.57,4.81
2000,2,23,13.39,15.31,5.05,48.19,0.08,78.56,3.67
2000,2,24,11.55,12.57,3.8,46.62,0.31,77.8,6.28
2000,2,25,2.02,7.52,-1.26,42.38,0.22,77.64,8.27
2000,2,26,7.66,13.96,0.76,41.12,0.06,78.77,5.3
2000,2,27,15.46,18.34,4.17,43.69,0.34,78.96,4.12
2000,2,28,14.03,14.49,5.6,40.19,0.39,78.09,6.08
2000,2,29,9.48,11.52,3.35,50,0.19,78.72,4.61
2000,3,1,10.54,12.64,3.98,45.69,0.23,78.86,2.74
2000,3,2,1.59,4.72,-0.27,83.06,2.93,78.86,4.62
2000,3,3,11.69,15.62,2.75,58.81,0,79.12,2.59
2000,3,4,16.5,18.82,5.58,41.5,0.3,78.71,3.38
2000,3,5,16.58,16.3,6.24,43.06,0.84,77.83,7.05
2000,3,6,15.01,17.09,5.79,41.94,0.32,78.12,6.56
2000,3,7,13.16,13.57,5.85,55.06,3.4,77.8,6.4
2000,3,8,9.3,12.97,2.42,45.38,1.21,78.24,8.19
2000,3,9,4.9,9.6,-0.37,61.12,1.18,78.6,3.85
2000,3,10,5.1,10.37,-1.1,55.75,0.17,79.09,4.02
2000,3,11,9.93,16.26,2.11,49.69,0.12,79.28,2.96
2000,3,12,5.98,9.77,0.43,64.56,1.42,79.11,1.72
2000,3,13,10.71,14.93,2.75,47.12,0,79.05,2.85
2000,3,14,12.39,16.27,4.03,47.81,0.75,78.81,3.8
2000,3,15,3.53,10.69,-0.99,74.12,11.96,78.71,4.08
2000,3,16,7.3,17.2,-1.56,64.81,1.3,79.06,2.06
2000,3,17,9.43,14.78,1.33,63.25,4.54,78.62,3.13
2000,3,18,0.73,7.53,-3.33,62.25,0.58,79.1,5.35
2000,3,19,13.29,20.43,3.23,47.5,0.02,78.37,4.84
2000,3,20,1.69,8.72,-1.81,76.94,4.9,78.17,6.5
2000,3,21,3.26,11.28,-2.07,80.69,4.06,79.12,3.6
2000,3,22,7.92,12.57,0.52,70.44,0.6,79.28,2.76
2000,3,23,13.98,16.59,4.99,58.19,0.23,78.59,4.57
2000,3,24,14.62,16.81,7.12,50.88,0.05,78.87,2.97
2000,3,25,15.8,17.65,8.23,50.5,0.08,79.2,2.98
2000,3,26,14.16,13.09,7.37,48.44,0.23,79.02,5.16
2000,3,27,19.27,20.96,8.96,38.88,0,78.61,3.71
2000,3,28,15.4,13.42,7.23,47.44,1.69,77.87,5.58
2000,3,29,12.98,13.21,7.4,47.19,1.7,78.43,3.19
2000,3,30,3.37,7.41,0.97,71.25,6.55,79.04,5.02
2000,3,31,-1.08,4.71,-2.78,84.94,9.72,79.32,4.49
2000,4,1,4.73,12.15,-1.83,62.75,1.3,78.99,2.42
2000,4,2,6.89,14.52,-0.13,66.44,5.36,78.73,4.73
2000,4,3,5.01,14.64,-1.73,59.38,0.98,79.44,4.55
2000,4,4,19.67,19.52,8.66,43.56,0,79.14,6.9
2000,4,5,20.09,16.2,11.47,43.06,0.33,78.59,5.75
2000,4,6,19.21,15.91,11.21,42.38,0.09,78.45,5.65
2000,4,7,10.73,14.24,5.08,45.19,0.2,79.32,5.88
2000,4,8,19.73,24.11,8.8,35.44,0,79.41,2.73
2000,4,9,22.34,20.01,12.38,36.94,0.07,78.61,4.12
2000,4,10,12.01,10.34,7.44,52.88,0.97,78.97,4.33
2000,4,11,14.41,15.7,8.3,58.69,0.31,79.47,4.44
2000,4,12,20.67,18.82,11.89,37.88,0,79.33,3.34
2000,4,13,22.56,18.78,13.97,34.31,0.06,78.97,3.84
2000,4,14,21.5,20.13,12.65,38.44,0.45,78.26,4.7
2000,4,15,7.52,9.87,4.45,72.19,2.97,78.32,1.66
2000,4,16,17.98,20.96,9.94,49.75,0.38,78.95,2.09
2000,4,17,23.27,21.27,13.8,34.19,0,78.95,3.14
2000,4,18,22.69,20.25,12.85,28.06,0.41,78.32,8.27
2000,4,19,11.6,11.59,5.18,45.25,0.88,78.47,7.05
2000,4,20,17.9,19.24,10.29,45.44,0.11,79.48,3.76
2000,4,21,21.96,19.05,12.99,39.44,0.13,79.17,2.91
2000,4,22,18.89,14.01,10.27,51.94,5.72,78.1,5.65
2000,4,23,12.11,8.23,8.09,69.38,2.43,78.65,4.31
2000,4,24,17.85,17.56,9.95,46.69,0.78,78.97,5.26
2000,4,25,19.29,20.45,10.87,31.62,0.2,79.42,2.8
2000,4,26,23.74,18.99,15.18,34.62,0.06,79.33,4.22
2000,4,27,19.62,16.42,12.58,45.5,0.01,79.58,3.2
2000,4,28,25.06,20.98,15.67,40.5,0.13,78.85,3.59
2000,4,29,25.17,23.95,15.26,40.44,9.23,78.57,5.72
2000,4,30,9.08,10.11,4.14,67.38,2.88,79.53,6.71
2000,5,1,16.61,16.92,8.83,43.12,0,79.41,3.93
2000,5,2,23.4,18.74,15.01,37.44,0.36,79.01,3.24
2000,5,3,25.33,17.98,17.52,37.19,0.01,78.97,3.82
2000,5,4,29.1,20.55,20.77,28.69,0,78.84,3.14
2000,5,5,30,19.74,21.31,23.62,0.04,78.59,3.59
2000,5,6,27.31,18.94,19.29,30.81,0.06,78.67,2.01
2000,5,7,25.72,16.09,18.92,35.12,0.08,78.46,4.88
2000,5,8,8.78,6.47,7.58,79.62,12.75,78.72,3.3
2000,5,9,21.4,20.7,13.01,44.62,1.32,78.69,2.45
2000,5,10,27.45,23,17.47,35.94,0.56,77.97,5.24
2000,5,11,22.4,19.15,16.69,38.38,0.22,77.82,5.33
2000,5,12,10.73,11.45,6.17,36.69,0.15,79.04,5.82
2000,5,13,18.65,21.81,10.05,31.5,0.15,79.38,2.68
2000,5,14,22.7,18.61,15.17,31.31,0.07,79.14,2.2
2000,5,15,25.78,19.5,17.34,27.88,0.05,78.91,3.75
2000,5,16,26,17.45,17.31,20.81,0,78.3,6.9
2000,5,17,14.95,11.34,9.56,50.06,17.53,77.85,8.48
2000,5,18,8.4,7.37,6.15,68.44,3.66,79.39,4.14
2000,5,19,17.28,14.34,11.78,52.5,0.38,79.39,1.9
2000,5,20,19.93,14.49,14.2,46.19,0.36,79.29,3.32
2000,5,21,24.02,18.8,16.62,36.88,0.13,79.31,3.73
2000,5,22,28.32,19.16,20.77,37.5,0.02,79.12,3.55
2000,5,23,30.55,18.99,22.32,35.88,0.09,78.82,4.61
2000,5,24,23.12,11.79,18.38,54.88,3.78,78.89,2.55
2000,5,25,25.88,16.52,19.12,51.62,2.39,78.56,3.77
2000,5,26,23.63,15.38,16.17,52.94,1.32,78.45,4.07
2000,5,27,25.71,20.3,18.47,39,0,79.27,2.6
2000,5,28,32.15,22.58,22.83,31.19,0.34,79.22,3.47
2000,5,29,33.3,21.23,24.16,30.44,0.37,78.84,4.54
2000,5,30,32.23,19.15,23.91,32.62,0.03,78.73,3.08
2000,5,31,32.6,22.36,23.1,30.88,0.01,78.74,3.95
2000,6,1,22.61,14.91,17.26,37.94,0.1,79.51,4.45
2000,6,2,27.1,17.98,20.3,48.38,0.08,79.6,5.3
2000,6,3,30.11,19.27,22.61,24.19,0.01,79.42,3.4
2000,6,4,25.03,15.94,19.64,47.94,0.07,79.82,4.55
2000,6,5,28.8,20.3,21.54,40.12,0.28,79.55,4.59
2000,6,6,32.7,17.34,25.55,24.69,0.01,79.35,3.24
2000,6,7,33.13,19.89,25.87,19.62,0.07,79.27,3.83
2000,6,8,33.09,17.85,25.61,25.44,0.02,78.61,5.52
2000,6,9,29.55,17.47,22.26,30.56,0.07,78.38,5.3
2000,6,10,27.66,18.6,20.33,26.31,0.51,78.93,4.74
2000,6,11,29.48,17.91,22.96,30.31,0.14,79.18,2.73
2000,6,12,31.4,20.31,23.74,20.62,0.13,79.04,4.09
2000,6,13,26.78,17.59,20.25,32.81,0.15,78.95,4.34
2000,6,14,27.33,20.68,20.47,33.5,0,79.27,2.82
2000,6,15,30.85,22.35,22.08,35.62,0.13,78.61,6.23
2000,6,16,19.71,15.19,14.11,60.25,2.4,79,4.45
2000,6,17,18.72,14.67,13.6,56.38,3.57,79.38,3.62
2000,6,18,29.31,22.62,20.47,35.62,0.78,79.13,4.06
2000,6,19,27.28,15.17,20.9,41.44,2.67,78.8,4.74
2000,6,20,27.03,17.05,20.2,35.75,0.53,79.06,2.91
2000,6,21,28.12,19.97,21.15,35.19,0.11,79.35,3.48
2000,6,22,32.54,20.07,24.81,32.56,0.14,79.15,2.62
2000,6,23,30.27,16.79,23.73,26.88,0.05,79.06,2.81
2000,6,24,28.25,13.88,22.7,36.38,0.41,79.29,3.27
2000,6,25,25.26,13.32,20.16,52.62,6.08,79.48,3.58
2000,6,26,18.03,8.23,14.88,75.56,7.77,79.69,3.57
2000,6,27,24.41,15.56,19.3,59.62,2.56,79.49,3.45
2000,6,28,23.59,14.59,19.66,58,0.21,79.65,3.59
2000,6,29,30.98,18.55,23.38,38.25,0.06,79.24,4.62
2000,6,30,30.97,20.15,23.33,37.12,0.91,79.23,4.09
2000,7,1,30.73,16.26,24.65,33.25,0.47,79.09,3.31
2000,7,2,31.62,17.67,24.81,36.56,0.6,79.18,3.67
2000,7,3,29.01,14.12,23.7,39.62,0.67,79,4.51
2000,7,4,32.46,18.35,24.98,17.56,0,78.97,4.84
2000,7,5,32.87,22.12,24.76,20,0.36,79.11,3.46
2000,7,6,35.08,20.59,27.32,21.62,0.06,79.07,4.32
2000,7,7,31.44,14.06,25.15,29.62,1.06,79.22,3.94
2000,7,8,31.98,15.15,25.87,35.62,0.54,79.28,4.01
2000,7,9,30.72,14.58,24.83,43.69,1.53,79.23,1.93
2000,7,10,29.75,14,24.55,47.94,1.08,79.28,2.44
2000,7,11,32.58,17.78,26.4,43.88,1.53,79.47,3.12
2000,7,12,26.12,10.25,21.73,60.06,4.72,79.8,4.9
2000,7,13,31.98,17.33,25.28,44.19,1.44,79.76,4.54
2000,7,14,33.04,15.84,26.73,42.19,0.86,79.6,3.25
2000,7,15,33.65,16.82,26.73,38.69,2.64,79.35,3.98
2000,7,16,26.37,10.81,21.95,58.25,18.85,79.43,3.13
2000,7,17,24.36,10.19,20.09,72.5,14.4,79.61,1.75
2000,7,18,33.05,20.81,24.2,41.38,0.15,79.57,2.35
2000,7,19,31.89,20.81,23.61,38.06,0.71,79.64,3.1
2000,7,20,29.18,16.29,22.98,50.19,0.7,79.54,3.53
2000,7,21,31.3,18.04,23.98,48.81,0.26,79.43,3.45
2000,7,22,29.87,17.2,23.44,48.31,0.17,79.74,3.38
2000,7,23,33.22,18.7,26.12,32.44,0.03,79.72,3.95
2000,7,24,33.48,17.03,24.96,28.88,0.26,79.49,3.7
2000,7,25,32.2,16.52,25.66,30.94,0.07,79.42,3.91
2000,7,26,31.6,15.16,24.47,39.31,0.62,79.44,3.95
2000,7,27,32.41,17.64,24.52,42.25,0.93,79.54,2.74
2000,7,28,30.75,16.33,24.25,42.25,1.47,79.68,3.84
2000,7,29,29.37,14.77,23.58,42.62,0.02,79.76,3.76
2000,7,30,28.98,14.55,22.99,37.69,0.05,79.82,3.67
2000,7,31,29.98,15.98,23.11,31.81,0.03,79.82,3.14
2000,8,1,33.21,18.77,25.2,28.94,0.21,79.64,3.52
2000,8,2,33.71,17.06,26.6,33.31,0.3,79.49,3.94
2000,8,3,32.28,15.25,25.53,39.94,1.59,79.53,4.09
2000,8,4,32.29,14.68,25.87,40.25,1.91,79.51,3.31
2000,8,5,31.41,15.5,25.3,38.25,0.61,79.38,2.58
2000,8,6,31.16,17.49,24.4,37.75,0.47,79.35,3.66
2000,8,7,32.78,17.9,25.59,29.44,0.15,79.24,3.13
2000,8,8,33.53,18.45,25.55,23.38,0.05,79.38,3.5
2000,8,9,33.62,16.14,25.67,27.5,0.04,79.58,4.09
2000,8,10,30.86,16.7,24.94,39.94,0.14,79.58,3.29
2000,8,11,31.94,15.4,25.26,41.38,0.93,79.5,3.83
2000,8,12,27.43,10.17,23.76,42.19,0.65,79.63,3.89
2000,8,13,30.36,14.34,24.72,44.81,2.72,79.43,3.32
2000,8,14,32.48,15.89,25.16,38.12,1.03,79.52,4.93
2000,8,15,30.01,13.31,24.62,42.25,2.11,79.82,3.33
2000,8,16,29.22,13.47,22.02,53.06,7.07,79.77,3.27
2000,8,17,23.91,11.93,18.37,62.44,7.31,79.92,3.18
2000,8,18,23.85,12.62,17.78,67.5,11.87,79.59,3.09
2000,8,19,28.79,15.34,21.7,50.75,1.18,79.48,3.45
2000,8,20,29.8,15.79,22.48,41.5,1.84,79.46,2.37
2000,8,21,27.83,16.73,19.07,49.69,2.83,79.66,3.54
2000,8,22,27.89,13.75,21.28,43.56,1.89,79.68,3.26
2000,8,23,27.58,15.34,21.53,44.62,0.71,79.9,2.7
2000,8,24,29.29,15.05,22.07,46.44,1.29,79.89,2.92
2000,8,25,27.95,14.02,20.44,53.44,5.29,79.77,4.33
2000,8,26,27.17,13.99,20.08,52.75,5.23,79.39,2.2
2000,8,27,30.06,16.49,23.03,46.56,1.99,79.14,2.57
2000,8,28,29.95,15.19,22.74,50.19,9.77,79.34,3.51
2000,8,29,27.5,14.29,21.17,59.69,4.17,79.38,2.33
2000,8,30,29.9,16.2,21.75,52.06,1.67,79.02,3.65
2000,8,31,21.29,8.16,16.94,65.62,7.32,79.21,2.8
2000,9,1,27.39,16.21,19.76,49.94,2,79.19,3.33
2000,9,2,27.46,19.01,19.14,38.88,0.23,79.24,3.44
2000,9,3,28.48,18.47,20.19,31.88,0.11,79.33,3.38
2000,9,4,31.51,20.2,21.87,35.69,0.47,79.47,3.45
2000,9,5,31.94,17.62,23.06,39.69,1.34,79.41,4.86
2000,9,6,29.24,15.12,21.62,37.38,0.24,79.4,5.17
2000,9,7,26.88,18.16,18.47,43.38,0.21,79.58,3.92
2000,9,8,28.4,15.82,18.82,40.69,0.43,78.97,5.55
2000,9,9,27.51,17.8,19.6,36.94,0,78.81,3.8
2000,9,10,29.81,19.7,20.65,26.75,0.03,79.04,3.49
2000,9,11,28.08,18.56,18.31,27.62,0.14,79.23,3.36
2000,9,12,28.01,18.39,19.66,33.06,0,79.51,3.39
2000,9,13,30.11,19.02,20.87,28.62,0,79.63,2.9
2000,9,14,27.8,16.36,19.55,33.44,0.02,79.94,4.73
2000,9,15,30.99,19.12,21.53,28.69,0,79.65,3.87
2000,9,16,31.32,18.58,21.9,25.19,0.04,79.56,3.44
2000,9,17,32.01,18.55,22.28,27.69,0.19,79.34,3.38
2000,9,18,25.43,12.05,19.45,38.56,0.23,79.14,2.88
2000,9,19,27.81,18.56,19.67,40.69,0.13,78.73,3.1
2000,9,20,16.69,14.97,10.49,56.25,8.13,79.14,5.02
2000,9,21,26.08,20.77,15.26,47.94,5.27,78.2,4.41
2000,9,22,20.98,18.83,11.77,70.44,3.13,78.36,2.83
2000,9,23,12.16,13.78,6.1,77.75,5.4,78.77,4.41
2000,9,24,5.53,9.34,1.08,74.94,5.72,79.61,3.3
2000,9,25,20.61,22.28,7.83,43.06,0,79.69,2.59
2000,9,26,22.06,20.8,11.29,37.94,0.46,79.55,3.35
2000,9,27,22.79,19.37,12.56,34.81,0.11,79.83,3.22
2000,9,28,24.55,18.52,15.34,38.06,0.23,79.64,2.65
2000,9,29,24.4,14.75,16.52,44.38,0.4,79.31,3.18
2000,9,30,25.13,15.81,16.42,39.44,0.05,79.11,3.95
2000,10,1,26.82,18.27,16.62,32.38,0,78.84,4.45
2000,10,2,26.83,18.44,16.02,32.62,0.01,78.89,3.45
2000,10,3,25.31,17.35,15.41,42.75,0.15,78.97,3.52
2000,10,4,20.33,14.27,12.65,53.62,0.66,78.86,3.84
2000,10,5,16.73,15.57,9.4,64.94,1.24,79.3,2.88
2000,10,6,12.53,15.35,5.19,62.81,0.33,79.63,3.48
2000,10,7,10.06,14.23,3.01,67.88,0.42,80.05,3.45
2000,10,8,13.26,17.06,4.65,59.5,0.01,79.87,4.36
2000,10,9,18.4,17.52,8.04,40.44,0.19,79.32,3.14
2000,10,10,21.49,18.7,11.87,43.62,0.03,78.67,4.52
2000,10,11,22.42,17.6,13.55,52,0.23,78.64,5.52
2000,10,12,21.22,17.26,12.04,46.56,0.06,78.8,3.53
2000,10,13,15.47,13.89,7.6,43.5,0.02,79.04,2.16
2000,10,14,13.83,13.12,6.12,42.56,0.01,79.26,2.02
2000,10,15,17.58,18.19,7.19,43.06,0,79.26,2.98
2000,10,16,17.85,17.64,8.01,37.75,0.01,79.45,2.94
2000,10,17,19.37,18.43,9.25,37.38,0,79.81,2.74
2000,10,18,23.21,19.69,11.8,35.88,0.02,79.59,3.2
2000,10,19,20.92,16.3,11.76,31.19,0.04,79.25,3.13
2000,10,20,19.42,17.64,10.23,44.12,0,79.3,4.7
2000,10,21,20.84,16.12,11.98,41.5,0.4,78.56,4.95
2000,10,22,6.65,6.7,4.01,92.81,5.7,79.27,4.11
2000,10,23,14.82,14.99,6.4,76.88,1.03,79.76,3.24
2000,10,24,17.13,14.75,8.69,58.62,0.46,79.16,4.29
2000,10,25,15.33,14.95,7.56,50.88,0.06,78.98,2.29
2000,10,26,16.38,14.49,7.08,47.44,0,78.98,2.5
2000,10,27,17.33,16.02,8.09,55.19,1.24,78.99,3.45
2000,10,28,12.5,7.73,7.76,79.44,2.85,78.57,4.7
2000,10,29,16.38,12.4,8.21,49.69,1.3,78.58,3.93
2000,10,30,17.05,16.12,6.76,44.31,0.01,78.67,2.41
2000,10,31,10.4,9.88,3.71,54.19,2.01,78.33,2.67
2000,11,1,10.36,11.62,3.57,52.94,1.14,78.32,2.91
2000,11,2,7.68,11.37,1.34,63.19,0.47,78.96,2.88
2000,11,3,10.32,14.41,1.72,67.75,0.31,79.32,2.16
2000,11,4,15.58,18.3,4.41,47.31,0.01,78.68,3.37
2000,11,5,6.03,10.7,0.27,66.44,6.5,77.7,3.46
2000,11,6,-1.09,5.55,-3.68,64.06,0.5,77.95,2.88
2000,11,7,1.12,7.93,-2.69,51.75,0.07,78.51,3.04
2000,11,8,5.62,10.17,-0.88,45.75,0.04,78.32,2.23
2000,11,9,8.52,13.52,-0.02,52.44,0.33,77.89,1.94
2000,11,10,6.94,13.02,-1.02,67.12,0.29,78.09,2.82
2000,11,11,-4.63,4.77,-5.85,77.62,3.86,78.36,3.59
2000,11,12,-2.83,8.75,-7.1,58.81,0.38,78.6,1.23
2000,11,13,0.56,14.7,-8.08,46.06,0.18,78.94,2.38
2000,11,14,7.27,18.3,-4.49,43.12,0.02,78.59,2.73
2000,11,15,1.53,9.95,-4.1,51.81,0.5,77.95,5.07
2000,11,16,-0.32,10.59,-7.13,56.19,0.19,78.62,1.85
2000,11,17,-0.8,10.63,-6.66,56.44,1.28,78.84,4.23
2000,11,18,4.55,16.62,-4.97,50.75,0,79.01,4.45
2000,11,19,5.77,13.15,-3.35,50.5,0.19,79.21,3.15
2000,11,20,6.85,15.34,-2.81,49.69,0.03,79.65,3.39
2000,11,21,10.33,12.99,0.59,37.69,0.04,79.55,3.94
2000,11,22,9.65,12.27,0.18,45.81,0.06,79.11,2.69
2000,11,23,3.94,6.88,-1.51,48.19,0.01,79.19,2.95
2000,11,24,9.23,13.34,-0.95,44.31,0,79.07,3.16
2000,11,25,4.48,8.45,-1.18,61.81,0.07,79.15,3.14
2000,11,26,6.8,10.12,-1,48.69,0.03,78.88,4.29
2000,11,27,7.98,10.19,0.08,57.38,0.73,78.84,2.9
2000,11,28,4.07,8.53,-1.25,63.56,0.12,79.12,2.86
2000,11,29,8.34,15.34,-1.28,61.69,0,79.15,3.21
2000,11,30,6.85,10.92,-0.38,50.75,0.21,78.89,5.31
2000,12,1,3.26,9.83,-2.81,50.62,0,79.65,2.55
2000,12,2,8.43,14.4,-2.27,39.75,0.03,79.4,2.8
2000,12,3,11.13,13.28,0.59,43.94,0.06,79.19,4.04
2000,12,4,5.1,8.35,-1.26,47,0.02,79.7,2.77
2000,12,5,8.15,14.05,-0.63,59.94,2.26,79.22,4.29
2000,12,6,9.56,15.62,-1.12,50.44,0,79.35,3.66
2000,12,7,11.86,14.96,1.3,54.44,0.25,78.85,4.42
2000,12,8,5.86,8.66,-0.67,68.56,0.14,78.73,2.91
2000,12,9,8.73,10.33,0.62,59.12,0.6,78.43,2.86
2000,12,10,5.03,14.3,-2.29,70.62,1.01,78.25,3.16
2000,12,11,-4.96,8.02,-8.41,57.88,2.16,78.65,3.68
2000,12,12,-0.77,8.3,-5.79,63.25,0.36,78.22,3.09
2000,12,13,1.33,11.8,-5.38,65.25,0.24,78.23,2.02
2000,12,14,6.01,14.04,-3.77,57.69,0.38,78.68,4.94
2000,12,15,4.26,11.63,-3.81,53.88,0.67,78.19,5.74
2000,12,16,-0.32,11.02,-5.81,48.94,0.53,79.05,8.02
2000,12,17,9.87,15.56,-1.13,47.88,0.56,78.59,8.03
2000,12,18,-2.45,6.59,-6.52,45.75,0.31,79.54,6.93
2000,12,19,8.69,16.97,-1.99,41.12,0.39,78.87,6.85
2000,12,20,-2.95,7.98,-6.57,59.12,0.73,78.53,4.37
2000,12,21,2.25,16.48,-7.48,60.25,0.15,78.91,2.31
2000,12,22,6.84,12.36,-2.98,63,0.38,78.56,4.81
2000,12,23,4.9,12.57,-3.65,58.75,0.05,79.12,2.48
2000,12,24,3.1,9.43,-3.46,60.69,0.29,78.94,1.88
2000,12,25,-4.99,4.33,-6.78,90.06,1.86,79.27,4.28
2000,12,26,2.98,12.8,-5.95,67.81,0.12,79.64,2.51
2000,12,27,8.59,14.78,-1.63,55.19,0.1,79.33,4.36
2000,12,28,3.23,9.78,-2.21,61.44,0.07,79.46,2.94
2000,12,29,2.54,12.27,-5.77,52.31,0.01,79.42,2.45
2000,12,30,3.41,11.23,-3.73,59.94,0.51,78.92,2.59
2000,12,31,2.48,10.81,-4.72,70.38,0.45,79.03,3.17
2001,1,1,6.16,14.34,-3.7,65.06,0.1,79.18,3.5
2001,1,2,3.73,11.27,-3.86,55.94,0.02,79.96,3.7
2001,1,3,10.65,13.48,0.07,43.81,0.19,79.9,5.14
2001,1,4,12.91,14.09,1.19,45.56,0.02,79.44,5.46
2001,1,5,14.46,15.02,2.18,41.5,0.04,79.2,4.74
2001,1,6,13.52,18.52,1.5,50.81,0.01,78.76,4.12
2001,1,7,2.85,8.73,-2.83,58.06,0.18,79.32,2.73
2001,1,8,9.49,13.72,-1.02,28.19,0,79.04,3.3
2001,1,9,10.12,13.31,0.15,30.75,0.01,78.65,5.77
2001,1,10,8.94,12.35,0.62,53.81,0,78.43,3.03
2001,1,11,9.69,14.19,-0.74,37.56,0,78.72,3.73
2001,1,12,10.34,13.11,0.3,37.56,0.03,78.18,5.45
2001,1,13,1.49,8.2,-2.38,55.12,1.22,77.97,6.38
2001,1,14,1.65,9.93,-4.8,51.69,0.19,78.72,2.05
2001,1,15,-2.24,7.11,-5.72,63.75,1.78,78.94,2.98
2001,1,16,-5.85,6.95,-8.43,82.75,4,78.89,3.53
2001,1,17,-0.77,13.09,-9.57,61.69,0,78.89,2.56
2001,1,18,0.76,11.04,-7.59,63.25,0.47,78.97,2.84
2001,1,19,1.48,14.17,-7.76,59.38,0,79.08,3.1
2001,1,20,0.09,8.59,-5.49,57.44,0.15,79.08,4.31
2001,1,21,5.48,15.13,-4.78,49.19,0,79.62,3.21
2001,1,22,7.03,11.58,-2.29,45.94,0.05,79.4,2.85
2001,1,23,4.63,9.48,-1.54,61.75,0.07,79.2,2.45
2001,1,24,4.54,10.97,-2.35,62.62,0.08,79.39,3.81
2001,1,25,6.81,9.95,-0.37,52.69,0.19,78.3,7.38
2001,1,26,2.22,8.7,-2.7,57.25,0.38,78.89,3.85
2001,1,27,0.07,8.23,-4.44,72.12,2.59,78.68,3.98
